[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[117248/200000] return=-249.525 policy_loss=2.4205
[118016/200000] return=-271.772 policy_loss=0.4908
[119040/200000] return=-283.699 policy_loss=0.1166
[120064/200000] return=-287.883 policy_loss=0.1063
[121088/200000] return=-278.368 policy_loss=0.2176
[122112/200000] return=-273.971 policy_loss=0.1364
[123136/200000] return=-286.518 policy_loss=0.1125
[124160/200000] return=-298.143 policy_loss=0.0974
[125184/200000] return=-296.623 policy_loss=0.1130
[126208/200000] return=-310.849 policy_loss=1.2912
[127232/200000] return=-308.585 policy_loss=0.0623
[128000/200000] return=-305.790 policy_loss=0.7462
[129024/200000] return=-284.591 policy_loss=-0.0197
[130048/200000] return=-292.994 policy_loss=-0.0396
[131072/200000] return=-289.324 policy_loss=1.7777
[132096/200000] return=-291.341 policy_loss=-0.0090
[133120/200000] return=-282.806 policy_loss=0.3341
[134144/200000] return=-271.947 policy_loss=0.0835
[135168/200000] return=-266.079 policy_loss=-0.0079
[136192/200000] return=-246.464 policy_loss=0.4921
[137216/200000] return=-228.470 policy_loss=0.1809
[138240/200000] return=-229.586 policy_loss=0.1630
[139008/200000] return=-293.923 policy_loss=-0.0139
[140032/200000] return=-298.299 policy_loss=0.0588
[141056/200000] return=-308.917 policy_loss=-0.0227
[142080/200000] return=-251.876 policy_loss=-0.0084
[143104/200000] return=-270.199 policy_loss=-0.0093
[144128/200000] return=-253.022 policy_loss=0.2053
[145152/200000] return=-252.174 policy_loss=0.4352
[146176/200000] return=-298.281 policy_loss=-0.0235
[147200/200000] return=-300.788 policy_loss=0.6411
[148224/200000] return=-262.589 policy_loss=0.1636
[149248/200000] return=-279.208 policy_loss=0.2277
[150016/200000] return=-280.028 policy_loss=1.1652
[151040/200000] return=-268.408 policy_loss=-0.0527
