[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[118016/200000] return=-53.202 policy_loss=-0.0603
[119040/200000] return=-53.312 policy_loss=0.3483
[120064/200000] return=-53.453 policy_loss=-0.0323
[121088/200000] return=-53.105 policy_loss=1.9977
[122112/200000] return=-52.798 policy_loss=0.0413
[123008/200000] return=-52.802 policy_loss=0.0710
[124032/200000] return=-53.392 policy_loss=0.8167
[125056/200000] return=-53.426 policy_loss=2.8423
[126080/200000] return=-53.951 policy_loss=0.1593
[127104/200000] return=-53.552 policy_loss=0.3770
[128000/200000] return=-53.536 policy_loss=-0.1052
[129024/200000] return=-53.519 policy_loss=0.2538
[130048/200000] return=-53.284 policy_loss=0.0056
[131072/200000] return=-52.865 policy_loss=0.0874
[132096/200000] return=-53.174 policy_loss=-0.0799
[133120/200000] return=-53.240 policy_loss=0.0386
[134016/200000] return=-52.810 policy_loss=0.4005
[135040/200000] return=-52.286 policy_loss=0.0795
[136064/200000] return=-52.610 policy_loss=1.9161
[137088/200000] return=-52.959 policy_loss=-0.1334
[138112/200000] return=-53.058 policy_loss=-0.1157
[139008/200000] return=-53.206 policy_loss=0.1449
[140032/200000] return=-53.751 policy_loss=2.8357
[141056/200000] return=-54.360 policy_loss=-0.0367
[142080/200000] return=-54.596 policy_loss=0.2830
[143104/200000] return=-53.799 policy_loss=-0.0235
[144000/200000] return=-53.725 policy_loss=0.0224
[145024/200000] return=-53.458 policy_loss=-0.1017
[146048/200000] return=-54.550 policy_loss=0.2398
[147072/200000] return=-55.919 policy_loss=0.1324
[148096/200000] return=-56.250 policy_loss=0.8912
[149120/200000] return=-54.877 policy_loss=0.3795
[150016/200000] return=-53.810 policy_loss=-0.0973
[151040/200000] return=-53.162 policy_loss=-0.0230
[152064/200000] return=-53.433 policy_loss=1.7783
[153088/200000] return=-53.601 policy_loss=0.1370
[154112/200000] return=-54.393 policy_loss=0.1499
[155008/200000] return=-55.176 policy_loss=0.2142
[156032/200000] return=-53.831 policy_loss=-0.0669
[157056/200000] return=-51.457 policy_loss=0.2097
[158080/200000] return=-49.115 policy_loss=2.8146
[159104/200000] return=-42.915 policy_loss=2.9104
[160000/200000] return=-42.778 policy_loss=0.7977
[161024/200000] return=-42.099 policy_loss=0.6101
[162048/200000] return=-46.303 policy_loss=-0.0654
[163072/200000] return=-46.267 policy_loss=0.0527
[164096/200000] return=-46.694 policy_loss=1.2696
[165120/200000] return=-46.988 policy_loss=0.3109
[166016/200000] return=-47.176 policy_loss=0.2926
[167040/200000] return=-48.099 policy_loss=0.3162
[168064/200000] return=-48.129 policy_loss=0.4308
[169088/200000] return=-47.933 policy_loss=1.5874
[170112/200000] return=-46.296 policy_loss=0.5660
[171008/200000] return=-47.475 policy_loss=0.1604
[172032/200000] return=-48.867 policy_loss=-0.0579
[173056/200000] return=-50.425 policy_loss=0.0022
[174080/200000] return=-50.657 policy_loss=0.9067
[175104/200000] return=-51.362 policy_loss=0.2664
[176000/200000] return=-52.887 policy_loss=1.2819
[177024/200000] return=-52.710 policy_loss=0.0436
[178048/200000] return=-52.342 policy_loss=2.1551
[179072/200000] return=-52.248 policy_loss=1.2160
[180096/200000] return=-53.944 policy_loss=0.5184
[181120/200000] return=-53.588 policy_loss=0.1769
[182016/200000] return=-53.666 policy_loss=0.5055
[183040/200000] return=-53.346 policy_loss=0.5163
[184064/200000] return=-54.044 policy_loss=0.3261
[185088/200000] return=-52.830 policy_loss=0.0894
[186112/200000] return=-51.345 policy_loss=0.0155
[187008/200000] return=-47.814 policy_loss=0.2087
[188032/200000] return=-48.072 policy_loss=-0.1276
[189056/200000] return=-50.192 policy_loss=0.6049
[190080/200000] return=-54.171 policy_loss=0.3148
[191104/200000] return=-55.565 policy_loss=1.0464
[192000/200000] return=-54.934 policy_loss=0.2059
[193024/200000] return=-54.651 policy_loss=0.6953
[194048/200000] return=-53.688 policy_loss=0.6221
[195072/200000] return=-52.687 policy_loss=0.5808
[196096/200000] return=-52.763 policy_loss=0.1259
[197120/200000] return=-52.248 policy_loss=0.1848
[198016/200000] return=-52.241 policy_loss=1.5749
[199040/200000] return=-51.881 policy_loss=0.1359
[200064/200000] return=-52.089 policy_loss=1.5164
