[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[115200/200000] return=-281.556 policy_loss=-0.0778
[116224/200000] return=-230.316 policy_loss=0.0159
[117248/200000] return=-229.171 policy_loss=-0.0501
[118016/200000] return=-229.786 policy_loss=-0.0241
[119040/200000] return=-237.786 policy_loss=-0.0895
[120064/200000] return=-229.167 policy_loss=-0.0828
[121088/200000] return=-223.264 policy_loss=-0.0725
[122112/200000] return=-231.120 policy_loss=-0.0925
[123136/200000] return=-224.144 policy_loss=-0.0686
[124160/200000] return=-249.697 policy_loss=-0.0852
[125184/200000] return=-244.049 policy_loss=-0.0495
[126208/200000] return=-247.660 policy_loss=-0.0710
[127232/200000] return=-223.895 policy_loss=-0.0654
[128000/200000] return=-218.263 policy_loss=-0.0744
[129024/200000] return=-239.384 policy_loss=-0.0433
[130048/200000] return=-252.772 policy_loss=-0.1131
[131072/200000] return=-257.745 policy_loss=-0.0654
[132096/200000] return=-212.491 policy_loss=0.0047
[133120/200000] return=-199.944 policy_loss=-0.0401
[134144/200000] return=-213.742 policy_loss=-0.1093
[135168/200000] return=-229.541 policy_loss=-0.0800
[136192/200000] return=-231.495 policy_loss=-0.0045
[137216/200000] return=-211.562 policy_loss=-0.0683
[138240/200000] return=-220.015 policy_loss=-0.0319
[139008/200000] return=-217.653 policy_loss=-0.0786
[140032/200000] return=-222.084 policy_loss=-0.0773
[141056/200000] return=-220.282 policy_loss=-0.0614
[142080/200000] return=-224.352 policy_loss=-0.0594
[143104/200000] return=-222.784 policy_loss=0.0048
[144128/200000] return=-213.453 policy_loss=-0.0781
[145152/200000] return=-224.642 policy_loss=-0.0054
[146176/200000] return=-228.660 policy_loss=-0.0008
[147200/200000] return=-228.559 policy_loss=-0.0446
[148224/200000] return=-248.361 policy_loss=-0.0253
[149248/200000] return=-225.352 policy_loss=0.0144
[150016/200000] return=-224.664 policy_loss=0.0675
[151040/200000] return=-190.462 policy_loss=-0.0954
[152064/200000] return=-205.288 policy_loss=-0.1003
[153088/200000] return=-215.234 policy_loss=-0.1112
[154112/200000] return=-242.402 policy_loss=-0.0320
[155136/200000] return=-245.121 policy_loss=-0.0357
[156160/200000] return=-269.272 policy_loss=-0.0808
[157184/200000] return=-243.063 policy_loss=-0.0771
[158208/200000] return=-264.839 policy_loss=-0.0909
[159232/200000] return=-231.816 policy_loss=0.0008
[160000/200000] return=-248.152 policy_loss=-0.0252
[161024/200000] return=-233.257 policy_loss=-0.0860
[162048/200000] return=-197.315 policy_loss=-0.0196
[163072/200000] return=-198.919 policy_loss=-0.0352
[164096/200000] return=-190.226 policy_loss=-0.0480
[165120/200000] return=-216.918 policy_loss=-0.0518
[166144/200000] return=-180.966 policy_loss=-0.0751
[167168/200000] return=-219.802 policy_loss=-0.0959
[168192/200000] return=-236.113 policy_loss=-0.0568
[169216/200000] return=-244.856 policy_loss=0.0133
[170240/200000] return=-232.355 policy_loss=-0.0330
[171008/200000] return=-228.596 policy_loss=-0.0299
[172032/200000] return=-262.576 policy_loss=-0.0411
[173056/200000] return=-269.172 policy_loss=-0.0725
[174080/200000] return=-269.318 policy_loss=-0.0935
[175104/200000] return=-247.641 policy_loss=-0.0821
[176128/200000] return=-218.096 policy_loss=-0.0720
[177152/200000] return=-235.048 policy_loss=-0.0520
[178176/200000] return=-246.444 policy_loss=-0.0538
[179200/200000] return=-281.319 policy_loss=-0.1124
[180224/200000] return=-269.332 policy_loss=0.0400
[181248/200000] return=-287.487 policy_loss=-0.0649
[182016/200000] return=-295.954 policy_loss=0.0831
[183040/200000] return=-289.423 policy_loss=-0.0913
[184064/200000] return=-294.689 policy_loss=-0.0463
[185088/200000] return=-238.096 policy_loss=-0.0658
[186112/200000] return=-217.219 policy_loss=-0.1127
[187136/200000] return=-211.087 policy_loss=-0.0696
[188160/200000] return=-240.372 policy_loss=0.1168
[189184/200000] return=-270.357 policy_loss=-0.0381
[190208/200000] return=-281.800 policy_loss=-0.0430
[191232/200000] return=-273.754 policy_loss=0.0119
[192000/200000] return=-255.917 policy_loss=0.1070
[193024/200000] return=-256.149 policy_loss=-0.0596
[194048/200000] return=-255.021 policy_loss=-0.0721
[195072/200000] return=-254.507 policy_loss=-0.0339
[196096/200000] return=-267.941 policy_loss=-0.0384
[197120/200000] return=-256.194 policy_loss=-0.0631
[198144/200000] return=-238.954 policy_loss=-0.0696
[199168/200000] return=-211.030 policy_loss=-0.0092
[200192/200000] return=-204.908 policy_loss=-0.0054
