[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[115200/200000] return=-219.634 policy_loss=-0.0746
[116224/200000] return=-222.712 policy_loss=-0.0590
[117248/200000] return=-224.000 policy_loss=-0.0371
[118016/200000] return=-265.706 policy_loss=-0.0511
[119040/200000] return=-270.461 policy_loss=-0.0682
[120064/200000] return=-257.495 policy_loss=-0.0837
[121088/200000] return=-229.501 policy_loss=-0.0427
[122112/200000] return=-227.393 policy_loss=-0.0485
[123136/200000] return=-235.802 policy_loss=-0.0588
[124160/200000] return=-230.434 policy_loss=-0.0551
[125184/200000] return=-229.763 policy_loss=-0.0510
[126208/200000] return=-228.035 policy_loss=-0.0342
[127232/200000] return=-206.125 policy_loss=-0.0587
[128000/200000] return=-214.370 policy_loss=-0.0656
[129024/200000] return=-214.878 policy_loss=-0.0981
[130048/200000] return=-231.355 policy_loss=-0.0710
[131072/200000] return=-223.675 policy_loss=-0.0673
[132096/200000] return=-222.286 policy_loss=-0.0660
[133120/200000] return=-253.229 policy_loss=-0.0883
[134144/200000] return=-340.522 policy_loss=-0.0528
[135168/200000] return=-347.565 policy_loss=-0.1169
[136192/200000] return=-368.123 policy_loss=-0.0241
[137216/200000] return=-282.555 policy_loss=-0.0550
[138240/200000] return=-322.066 policy_loss=-0.1233
[139008/200000] return=-329.679 policy_loss=-0.0355
[140032/200000] return=-444.182 policy_loss=-0.0918
[141056/200000] return=-457.497 policy_loss=-0.0774
[142080/200000] return=-403.163 policy_loss=-0.0472
[143104/200000] return=-309.130 policy_loss=-0.0845
[144128/200000] return=-356.137 policy_loss=-0.0990
[145152/200000] return=-400.644 policy_loss=0.0191
[146176/200000] return=-410.215 policy_loss=-0.0846
[147200/200000] return=-370.651 policy_loss=0.0003
[148224/200000] return=-370.946 policy_loss=-0.0957
[149248/200000] return=-360.766 policy_loss=-0.0916
[150016/200000] return=-368.219 policy_loss=-0.0795
[151040/200000] return=-375.108 policy_loss=-0.1026
[152064/200000] return=-383.884 policy_loss=-0.0747
[153088/200000] return=-318.141 policy_loss=-0.0569
[154112/200000] return=-307.021 policy_loss=-0.0838
[155136/200000] return=-275.379 policy_loss=-0.0870
[156160/200000] return=-278.300 policy_loss=-0.1045
[157184/200000] return=-236.400 policy_loss=-0.0384
[158208/200000] return=-223.796 policy_loss=-0.0611
[159232/200000] return=-240.468 policy_loss=-0.0884
[160000/200000] return=-275.023 policy_loss=-0.0884
